backbone,layer_i,layer_j,C_i_to_j,C_j_to_i,mutual_cost,asymmetry
Llama-3.2-3B,4,12,0.48792026191949844,0.4860035590827465,0.48792026191949844,0.0019167028367519379
Llama-3.2-3B,4,13,0.42216397635638714,0.541384132578969,0.541384132578969,0.11922015622258186
Llama-3.2-3B,4,14,0.48589581809937954,0.5573756042867899,0.5573756042867899,0.07147978618741035
Llama-3.2-3B,4,15,0.4332190193235874,0.5389886405318975,0.5389886405318975,0.10576962120831013
Llama-3.2-3B,4,16,0.4439381528645754,0.5353998597711325,0.5353998597711325,0.09146170690655708
Llama-3.2-3B,4,17,0.35808188654482365,0.579409658908844,0.579409658908844,0.22132777236402035
Llama-3.2-3B,4,18,0.404817882925272,0.5195293631404638,0.5195293631404638,0.11471148021519184
Llama-3.2-3B,4,19,0.3274159152060747,0.580927362665534,0.580927362665534,0.2535114474594593
Llama-3.2-3B,4,20,0.29970656614750624,0.5315474160015583,0.5315474160015583,0.23184084985405207
Llama-3.2-3B,4,21,0.2749699680134654,0.5045135989785194,0.5045135989785194,0.22954363096505404
Llama-3.2-3B,4,22,0.19640862941741943,0.5608174875378609,0.5608174875378609,0.36440885812044144
Llama-3.2-3B,4,23,0.18595670443028212,0.5838967300951481,0.5838967300951481,0.39794002566486597
Llama-3.2-3B,4,24,0.30387918278574944,0.6610661298036575,0.6610661298036575,0.3571869470179081
Llama-3.2-3B,4,25,0.3066848898306489,0.823905736207962,0.823905736207962,0.5172208463773131
Llama-3.2-3B,4,26,0.27965774945914745,0.8787273839116096,0.8787273839116096,0.5990696344524622
Llama-3.2-3B,4,27,0.44196747057139874,0.9174984805285931,0.9174984805285931,0.47553100995719433
Llama-3.2-3B,5,6,0.6271051280200481,0.5158874429762363,0.6271051280200481,0.1112176850438118
Llama-3.2-3B,5,7,0.3666594158858061,0.5160391945391893,0.5160391945391893,0.14937977865338326
Llama-3.2-3B,5,8,0.3240295024588704,0.6144006550312042,0.6144006550312042,0.2903711525723338
Llama-3.2-3B,5,9,0.2855018740519881,0.6306886859238148,0.6306886859238148,0.34518681187182665
Llama-3.2-3B,5,10,0.36422579921782017,0.6284583434462547,0.6284583434462547,0.26423254422843456
Llama-3.2-3B,5,11,0.32053941767662764,0.6276585534214973,0.6276585534214973,0.3071191357448697
Llama-3.2-3B,5,12,0.43619914911687374,0.5737068206071854,0.5737068206071854,0.13750767149031162
Llama-3.2-3B,5,13,0.41303495690226555,0.6632653176784515,0.6632653176784515,0.250230360776186
Llama-3.2-3B,5,14,0.4637024626135826,0.7389714121818542,0.7389714121818542,0.27526894956827164
Llama-3.2-3B,5,15,0.4341771826148033,0.6453237682580948,0.6453237682580948,0.21114658564329147
Llama-3.2-3B,5,16,0.41104562766849995,0.6381785571575165,0.6381785571575165,0.22713292948901653
Llama-3.2-3B,5,17,0.32636736892163754,0.6127335242927074,0.6127335242927074,0.2863661553710699
Llama-3.2-3B,5,18,0.38568582758307457,0.6241432130336761,0.6241432130336761,0.23845738545060158
Llama-3.2-3B,5,19,0.3381014000624418,0.711078617721796,0.711078617721796,0.3729772176593542
Llama-3.2-3B,5,20,0.2817509975284338,0.5807456728070974,0.5807456728070974,0.29899467527866364
Llama-3.2-3B,5,21,0.30001463927328587,0.5788856018334627,0.5788856018334627,0.27887096256017685
Llama-3.2-3B,5,22,0.20035546738654375,0.7219726890325546,0.7219726890325546,0.5216172216460109
Llama-3.2-3B,5,23,0.19384882040321827,0.6442674323916435,0.6442674323916435,0.45041861198842525
Llama-3.2-3B,5,24,0.30880039744079113,0.7106386125087738,0.7106386125087738,0.4018382150679827
Llama-3.2-3B,5,25,0.2973483884707093,0.7994026131927967,0.7994026131927967,0.5020542247220874
Llama-3.2-3B,5,26,0.2847139919176698,0.8639385066926479,0.8639385066926479,0.5792245147749782
Llama-3.2-3B,5,27,0.4278165977448225,0.9471055194735527,0.9471055194735527,0.5192889217287302
Llama-3.2-3B,6,7,0.4721642732620239,0.41466824151575565,0.4721642732620239,0.05749603174626827
Llama-3.2-3B,6,8,0.3215134646743536,0.42551989667117596,0.42551989667117596,0.10400643199682236
Llama-3.2-3B,6,9,0.2724496880546212,0.5083476100116968,0.5083476100116968,0.2358979219570756
Llama-3.2-3B,6,10,0.37978504225611687,0.4954206980764866,0.4954206980764866,0.11563565582036972
Llama-3.2-3B,6,11,0.3573911804705858,0.5676164384931326,0.5676164384931326,0.21022525802254677
Llama-3.2-3B,6,12,0.4360001441091299,0.5136444140225649,0.5136444140225649,0.07764426991343498
Llama-3.2-3B,6,13,0.4306349437683821,0.6319159716367722,0.6319159716367722,0.20128102786839008
Llama-3.2-3B,6,14,0.4645091202110052,0.6377385668456554,0.6377385668456554,0.17322944663465023
Llama-3.2-3B,6,15,0.4351541679352522,0.5858198720961809,0.5858198720961809,0.15066570416092873
Llama-3.2-3B,6,16,0.43087040074169636,0.5929955206811428,0.5929955206811428,0.16212511993944645
Llama-3.2-3B,6,17,0.3434832729399204,0.601920934394002,0.601920934394002,0.25843766145408154
Llama-3.2-3B,6,18,0.4003170859068632,0.5703129414469004,0.5703129414469004,0.16999585554003716
Llama-3.2-3B,6,19,0.3351754676550627,0.6524449400603771,0.6524449400603771,0.31726947240531445
Llama-3.2-3B,6,20,0.2910487651824951,0.5391812026500702,0.5391812026500702,0.24813243746757507
Llama-3.2-3B,6,21,0.30223399214446545,0.5712333731353283,0.5712333731353283,0.26899938099086285
Llama-3.2-3B,6,22,0.18218115158379078,0.6033728122711182,0.6033728122711182,0.4211916606873274
Llama-3.2-3B,6,23,0.17550998274236917,0.6386710479855537,0.6386710479855537,0.46316106524318457
Llama-3.2-3B,6,24,0.3080545738339424,0.6332585103809834,0.6332585103809834,0.32520393654704094
Llama-3.2-3B,6,25,0.30389973893761635,0.6733662709593773,0.6733662709593773,0.36946653202176094
Llama-3.2-3B,6,26,0.28873942233622074,0.8351579047739506,0.8351579047739506,0.5464184824377298
Llama-3.2-3B,6,27,0.4259090721607208,0.9349267892539501,0.9349267892539501,0.5090177170932293
Llama-3.2-3B,7,8,0.40908883698284626,0.33175116777420044,0.40908883698284626,0.07733766920864582
Llama-3.2-3B,7,9,0.26180646382272243,0.35205895639956,0.35205895639956,0.09025249257683754
Llama-3.2-3B,7,10,0.3700604010373354,0.39090246334671974,0.39090246334671974,0.020842062309384346
Llama-3.2-3B,7,11,0.3456800188869238,0.47642001137137413,0.47642001137137413,0.13073999248445034
Llama-3.2-3B,7,12,0.45840383134782314,0.40785015374422073,0.45840383134782314,0.05055367760360241
Llama-3.2-3B,7,13,0.4504436831921339,0.5778925847262144,0.5778925847262144,0.1274489015340805
Llama-3.2-3B,7,14,0.4850758630782366,0.5746894907206297,0.5746894907206297,0.08961362764239311
Llama-3.2-3B,7,15,0.4717653151601553,0.5262594409286976,0.5262594409286976,0.05449412576854229
Llama-3.2-3B,7,16,0.44982549361884594,0.47141646035015583,0.47141646035015583,0.02159096673130989
Llama-3.2-3B,7,17,0.35838289372622967,0.4961926303803921,0.4961926303803921,0.1378097366541624
Llama-3.2-3B,7,18,0.39764857292175293,0.47763109020888805,0.47763109020888805,0.07998251728713512
Llama-3.2-3B,7,19,0.3293682523071766,0.5617694426327944,0.5617694426327944,0.2324011903256178
Llama-3.2-3B,7,20,0.3151282649487257,0.41276497207581997,0.41276497207581997,0.09763670712709427
Llama-3.2-3B,7,21,0.31102616153657436,0.45604510232806206,0.45604510232806206,0.1450189407914877
Llama-3.2-3B,7,22,0.18840761575847864,0.5219838935881853,0.5219838935881853,0.33357627782970667
Llama-3.2-3B,7,23,0.18784087523818016,0.48183233849704266,0.48183233849704266,0.2939914632588625
Llama-3.2-3B,7,24,0.3174018580466509,0.5534047298133373,0.5534047298133373,0.23600287176668644
Llama-3.2-3B,7,25,0.31017670687288046,0.5192711278796196,0.5192711278796196,0.20909442100673914
Llama-3.2-3B,7,26,0.27597235050052404,0.6775515303015709,0.6775515303015709,0.40157917980104685
Llama-3.2-3B,7,27,0.44110308215022087,0.6419818606227636,0.6419818606227636,0.20087877847254276
Llama-3.2-3B,8,9,0.3451263392344117,0.3236417816951871,0.3451263392344117,0.021484557539224625
Llama-3.2-3B,8,10,0.4095198642462492,0.2859678417444229,0.4095198642462492,0.12355202250182629
Llama-3.2-3B,8,11,0.3884211275726557,0.3267465718090534,0.3884211275726557,0.06167455576360226
Llama-3.2-3B,8,12,0.540204418823123,0.31053381599485874,0.540204418823123,0.22967060282826424
Llama-3.2-3B,8,13,0.43928045965731144,0.397960115224123,0.43928045965731144,0.04132034443318844
Llama-3.2-3B,8,14,0.49393927678465843,0.4012139607220888,0.49393927678465843,0.09272531606256962
Llama-3.2-3B,8,15,0.4784011896699667,0.373211151920259,0.4784011896699667,0.1051900377497077
Llama-3.2-3B,8,16,0.4572337232530117,0.3772546947002411,0.4572337232530117,0.07997902855277061
Llama-3.2-3B,8,17,0.3374847527593374,0.377955786883831,0.377955786883831,0.0404710341244936
Llama-3.2-3B,8,18,0.3732595704495907,0.3868101332336664,0.3868101332336664,0.013550562784075737
Llama-3.2-3B,8,19,0.3211138043552637,0.4268950093537569,0.4268950093537569,0.1057812049984932
Llama-3.2-3B,8,20,0.3011244498193264,0.3621183093637228,0.3621183093637228,0.0609938595443964
Llama-3.2-3B,8,21,0.3071730509400368,0.3573677223175764,0.3573677223175764,0.050194671377539635
