backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,2,4,0.193359375,0.22417680732905865,0.41753618232905865
Llama-3.2-3B,2,15,0.2060546875,0.2118660006672144,0.4179206881672144
Llama-3.2-3B,16,18,0.20068359375,0.2181006297469139,0.4187842234969139
Llama-3.2-3B,21,26,0.20361328125,0.21533134207129478,0.4189446233212948
Llama-3.2-3B,18,10,0.1962890625,0.22330015525221825,0.41958921775221825
Llama-3.2-3B,11,27,0.19140625,0.22873646765947342,0.4201427176594734
Llama-3.2-3B,0,4,0.193359375,0.228387163951993,0.421746538951993
Llama-3.2-3B,15,10,0.1953125,0.22665159031748772,0.4219640903174877
Llama-3.2-3B,4,13,0.19482421875,0.22733975760638714,0.42216397635638714
Llama-3.2-3B,16,10,0.1962890625,0.226682523265481,0.422971585765481
Llama-3.2-3B,3,16,0.2080078125,0.21501889266073704,0.42302670516073704
Llama-3.2-3B,21,18,0.20556640625,0.21853668615221977,0.4241030924022198
Llama-3.2-3B,1,27,0.18896484375,0.2360671553760767,0.4250319991260767
Llama-3.2-3B,19,11,0.20361328125,0.22149565070867538,0.4251089319586754
Llama-3.2-3B,24,8,0.20556640625,0.21958833374083042,0.4251547399908304
Llama-3.2-3B,8,6,0.2021484375,0.22337145917117596,0.42551989667117596
Llama-3.2-3B,12,19,0.21484375,0.21095292642712593,0.42579667642712593
Llama-3.2-3B,6,27,0.189453125,0.23645594716072083,0.4259090721607208
Llama-3.2-3B,3,15,0.208984375,0.21702302992343903,0.426007404923439
Llama-3.2-3B,25,8,0.18505859375,0.24158431962132454,0.42664291337132454
Llama-3.2-3B,1,15,0.20654296875,0.22010337561368942,0.4266463443636894
Llama-3.2-3B,10,27,0.1923828125,0.2342888657003641,0.4266716782003641
Llama-3.2-3B,19,8,0.20751953125,0.2193754781037569,0.4268950093537569
Llama-3.2-3B,13,17,0.205078125,0.2218588273972273,0.4269369523972273
Llama-3.2-3B,4,7,0.20068359375,0.22627437487244606,0.42695796862244606
Llama-3.2-3B,1,13,0.203125,0.22405045852065086,0.42717545852065086
Llama-3.2-3B,12,27,0.19384765625,0.23333791457116604,0.42718557082116604
Llama-3.2-3B,0,16,0.2060546875,0.2212802693247795,0.4273349568247795
Llama-3.2-3B,5,27,0.19384765625,0.2339689414948225,0.4278165977448225
Llama-3.2-3B,20,13,0.20166015625,0.22621804848313332,0.4278782047331333
Llama-3.2-3B,15,17,0.201171875,0.22750668413937092,0.4286785591393709
Llama-3.2-3B,20,10,0.19775390625,0.23160486854612827,0.4293587747961283
Llama-3.2-3B,18,25,0.23291015625,0.19649536907672882,0.4294055253267288
Llama-3.2-3B,10,11,0.21484375,0.2147627379745245,0.4296064879745245
